Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters,countries
2000-2015,2000,2015,16,0.028063117407026952,0.016882644823307823,0.0964633583404928,50327,493,249,48
2000-2016,2000,2016,17,0.03069282907739646,0.017563756476545164,0.0805490203849347,54245,526,259,48
2000-2017,2000,2017,18,0.03020896954379481,0.01848522883424902,0.10221222305599298,58288,558,270,48
2000-2018,2000,2018,19,0.032241818341803105,0.01962480443364646,0.10040122999657139,62318,588,286,48
2000-2019,2000,2019,20,0.03724645731338095,0.020223794008248575,0.06551690297019035,66317,613,307,48
2001-2008,2001,2008,8,0.05300923520836742,0.01650209424011505,0.0013168907635032119,23324,239,132,48
2001-2009,2001,2009,9,0.04979533094095255,0.01619527830232839,0.0021072709419814035,26247,267,150,48
2001-2010,2001,2010,10,0.04450734619096482,0.01567651900671029,0.004523970055180168,29604,299,165,48
2001-2011,2001,2011,11,0.028203067424441557,0.016691649343851433,0.09109468063299356,33002,331,179,48
2001-2012,2001,2012,12,0.018357641680424606,0.017401887628250026,0.2914608003734044,36328,364,196,48
2001-2013,2001,2013,13,0.020921183206855477,0.017790532383951427,0.2396057224387066,39667,398,208,48
2001-2014,2001,2014,14,0.02412822453631587,0.016447170810838574,0.14237233465765683,43552,432,223,48
2001-2015,2001,2015,15,0.029196119437294974,0.016704819572470817,0.08050451606773622,47487,465,239,48
2001-2016,2001,2016,16,0.03200297688189732,0.017558185750615164,0.06835167369775026,51405,498,249,48
2001-2017,2001,2017,17,0.031501341702365106,0.018561899284743836,0.08967834254037006,55448,530,260,48
2001-2018,2001,2018,18,0.033676493855616975,0.019729265343827986,0.08783488530383966,59478,560,276,48
2001-2019,2001,2019,19,0.03900950596121429,0.02022589090845063,0.053769159284554904,63477,585,297,48
2002-2009,2002,2009,8,0.05471770866731576,0.01718438314597624,0.001451781526014124,23337,235,138,48
2002-2010,2002,2010,9,0.04673121863891122,0.016533853263148393,0.004707501066637263,26694,267,153,48
2002-2011,2002,2011,10,0.027851330525439037,0.016980076050900187,0.10095612511775291,30092,299,167,48
2002-2012,2002,2012,11,0.016745328570734904,0.01714604462689419,0.32875273672133465,33418,332,184,48
2002-2013,2002,2013,12,0.02030462437660504,0.017230998881042497,0.2386460743747142,36757,366,196,48
2002-2014,2002,2014,13,0.0245682251234033,0.016117457307359157,0.12742782368751437,40642,400,211,48
2002-2015,2002,2015,14,0.029820011265767627,0.016676448363750353,0.0737516159669282,44577,433,227,48
2002-2016,2002,2016,15,0.03262072051123441,0.017734134854458128,0.06585179230660541,48495,466,237,48
2002-2017,2002,2017,16,0.03185566245843607,0.018809046933549754,0.09033464014471908,52538,498,248,48
2002-2018,2002,2018,17,0.03412126313066177,0.02000610478439043,0.08809328209572026,56568,528,264,48
2002-2019,2002,2019,18,0.039810896901255576,0.020358822687356105,0.05052860621479823,60567,553,285,48
2003-2010,2003,2010,8,0.04336412608360177,0.0164652682536395,0.00844668888491995,23805,238,143,48
2003-2011,2003,2011,9,0.02208930411242576,0.016764280145078726,0.18762382862354976,27203,270,157,48
2003-2012,2003,2012,10,0.010298187364634528,0.01661702799917267,0.5354309405825153,30529,303,174,48
2003-2013,2003,2013,11,0.015339846221475764,0.016617049770284928,0.3559347880664493,33868,337,186,48
2003-2014,2003,2014,12,0.02072223299398939,0.015880968359257692,0.191944971253881,37753,371,201,48
2003-2015,2003,2015,13,0.027085611127251216,0.016623960763420507,0.10324708424018807,41688,404,217,48
2003-2016,2003,2016,14,0.030412333317885128,0.017754268296453143,0.08672008629416271,45606,437,227,48
2003-2017,2003,2017,15,0.02987915531038234,0.01885066197492972,0.11295601641133267,49649,469,238,48
2003-2018,2003,2018,16,0.03255000500513043,0.01999327121925468,0.10351471057807146,53679,499,254,48
2003-2019,2003,2019,17,0.038984523653828984,0.020278984165606716,0.05455417771889711,57678,524,275,48
2004-2011,2004,2011,8,0.01166292912941444,0.015663714580490144,0.45652409763485524,24501,241,146,48
2004-2012,2004,2012,9,0.000728088005326576,0.015040529019084247,0.9613907617249006,27827,274,163,48
2004-2013,2004,2013,10,0.006337706423300586,0.014855785845260809,0.6696595083591832,31166,308,175,48
2004-2014,2004,2014,11,0.012799107025570385,0.015324195581220262,0.403592660933788,35051,342,190,48
2004-2015,2004,2015,12,0.019540487468888826,0.016506506974541757,0.23649021503204593,38986,375,206,48
2004-2016,2004,2016,13,0.023217040694007676,0.01766045123434646,0.18863272732157776,42904,408,216,48
2004-2017,2004,2017,14,0.022933371486938463,0.01870415741851392,0.22015694052205126,46947,440,227,48
2004-2018,2004,2018,15,0.02613896808585507,0.019695078430987764,0.18444824166840668,50977,470,243,48
2004-2019,2004,2019,16,0.033591981484544765,0.01984948359358364,0.09058206365173427,54976,495,264,48
2005-2012,2005,2012,8,-0.012435469316645988,0.015737812083157308,0.429431375071055,24852,245,147,48
2005-2013,2005,2013,9,-0.006328405769140916,0.015211838856813079,0.6773964954839329,28191,279,159,48
2005-2014,2005,2014,10,0.004709888149309192,0.01698818307354429,0.7815920184773353,32076,313,174,48
2005-2015,2005,2015,11,0.013280808494822488,0.018052684447452068,0.4619318839723262,36011,346,190,48
2005-2016,2005,2016,12,0.018110449088534604,0.018864771564421387,0.3370480547589191,39929,379,200,48
2005-2017,2005,2017,13,0.018449317501325946,0.019531688243637293,0.34487136945526087,43972,411,211,48
2005-2018,2005,2018,14,0.022609395475610562,0.02012588946233726,0.2612682561704648,48002,441,227,48
2005-2019,2005,2019,15,0.03146372430586421,0.020041001055018902,0.11642262620688301,52001,466,248,48
2006-2013,2006,2013,8,-0.0033950316108130162,0.013503575240362782,0.8014915404546096,25277,250,148,48
2006-2014,2006,2014,9,0.006716844569923864,0.016491126659783223,0.6837872761970072,29162,284,163,48
2006-2015,2006,2015,10,0.013210963622028712,0.017307720421631544,0.44528516958071285,33097,317,179,48
2006-2016,2006,2016,11,0.016464564110031478,0.017693264588295236,0.35208355904012223,37015,350,189,48
2006-2017,2006,2017,12,0.016102478901256337,0.017968055229668073,0.3701605833645192,41058,382,200,48
2006-2018,2006,2018,13,0.020204704809416284,0.0182608607349859,0.26853237579947964,45088,412,216,48
2006-2019,2006,2019,14,0.029568590282909146,0.01798135137966484,0.10009296139855364,49087,437,237,48
2007-2014,2007,2014,8,0.009038711014344778,0.017613707620620395,0.6078369888874005,26238,255,151,48
2007-2015,2007,2015,9,0.014037741262161497,0.017621809092139767,0.4256765154906268,30173,288,167,48
2007-2016,2007,2016,10,0.015846526792800252,0.017394727285185686,0.3622974868655441,34091,321,177,48
2007-2017,2007,2017,11,0.014987613896658989,0.017101453362609292,0.38081579071962923,38134,353,188,48
2007-2018,2007,2018,12,0.019331351692846385,0.016913675555154144,0.2530626354794322,42164,383,204,48
2007-2019,2007,2019,13,0.029579807434833495,0.016471045602661317,0.07251567012751063,46163,408,225,48
2008-2015,2008,2015,8,0.013890518394686364,0.0181958813423485,0.44523200393180073,27202,257,155,48
2008-2016,2008,2016,9,0.014402400766904907,0.017831480714080236,0.41926608734944826,31120,290,165,48
2008-2017,2008,2017,10,0.013760474306032954,0.01747801094783708,0.43110505462798665,35163,322,176,48
