country_code,year,total_resource_rents_gdp,oil_rents_gdp,mineral_rents_gdp
COD,1998,32.1829001126895,0.797078595749003,0.212448292720936
COD,1999,28.4965787872588,1.73975706615301,0.35166289490923
COD,2000,7.51126046065517,0.862629545247728,0.0774613162726291
COD,2001,18.4200094895652,1.71728779678104,0.115803321235549
COD,2002,18.8676859222972,1.45214336853988,0.12708365849521
COD,2003,29.5533566420657,1.59353042142954,0.216470606221018
COD,2004,24.0864214623167,2.13752329731202,0.405551757964498
COD,2005,23.7428655133964,2.66413154294407,1.52097033196487
COD,2006,24.0258161811706,2.58333183654341,5.05804607329062
COD,2007,25.7637080243213,2.54642184974013,2.41940915087099
COD,2008,28.4584070916592,2.83293568116403,4.34789395952976
COD,2009,28.261800820164,1.37907393656144,3.809428143282
COD,2010,25.9608846428413,1.80606291179953,6.41161516606728
COD,2011,28.8830474855316,2.44284320183572,9.3917398141362
COD,2012,27.1229704627568,2.05735950238427,7.62424604775848
COD,2013,25.746219512295,1.5624595976329,7.80936228605857
COD,2014,24.5568779878184,1.0574581164719,6.96634515795802
COD,2015,20.1093927301662,0.345534121829134,3.2899447509583
COD,2016,20.5721227000572,0.306678110044986,2.46160219519804
COD,2017,24.7656558437341,0.659902410781335,7.00172639884998
COD,2018,18.4167757889728,0.783495113502667,8.09288830144681
COD,2019,12.7500585788424,0.629309383334329,3.63527603517241
COD,2020,15.9281973313702,0.358850561150071,5.63458993212314
COD,2021,38.8272665239082,0.649836903019219,28.8127978039482
COD,2022,,,
COD,2023,,,
COD,2024,,,
COD,2025,,,
COG,1960,,,
COG,1961,,,
COG,1962,,,
COG,1963,,,
COG,1964,,,
COG,1965,,,
COG,1966,,,
COG,1967,,,
COG,1968,,,
COG,1969,,,
COG,1970,6.64483208044262,0.0115602838766326,0.0548569620412514
COG,1971,5.89798568466017,0.00309843738837228,0.122284946364673
COG,1972,5.74750804951389,0.186200888466482,0.304539468617859
COG,1973,7.45591229078477,1.51885780119361,0.742585877808311
COG,1974,29.5241490629841,24.2620319664417,0.523345140972501
COG,1975,17.0646401469805,13.1385741712754,0.41908407713063
COG,1976,19.7434495458121,15.4202485231747,0.262950836464388
COG,1977,21.7703953144671,16.5001923359572,0.177008257141605
COG,1978,22.5804659965101,17.1334552526525,0.252829718039546
COG,1979,43.0659126477545,37.9393625588413,0.47744222938895
COG,1980,33.8386873025772,29.3499929583315,0.294431963473939
COG,1981,20.6974005938285,17.8736388507926,0.124054674353655
COG,1982,9.91090162200608,7.25092356913313,0.0423335117927588
COG,1983,20.1874480240288,17.9104655007995,0.0200854755614458
COG,1984,24.3770640167178,22.3319139805741,0.00732932342878929
COG,1985,26.1502684270415,24.1675969162857,0.018585243026041
