Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
1997-2019,1997,2019,23,0.014149214969287324,0.00672531050793953,0.035389322120244926,1017602,2616,2852
1998-2005,1998,2005,8,0.011326971542334316,0.005132384660441857,0.02731680100951159,347411,921,1040
1998-2006,1998,2006,9,0.0153357107839289,0.005495090018785295,0.00525775490469944,390998,1038,1160
1998-2007,1998,2007,10,0.016865220672775922,0.005369875008979779,0.0016853877178730624,435223,1156,1277
1998-2008,1998,2008,11,0.016650393656880032,0.005302044881572229,0.0016873338500342963,479237,1278,1392
1998-2009,1998,2009,12,0.016577443401956007,0.005057124868230679,0.0010453162186059234,522472,1394,1517
1998-2010,1998,2010,13,0.017481583771538647,0.005095291857998805,0.0006015183758079213,567522,1513,1639
1998-2011,1998,2011,14,0.016810682387930556,0.005261199737078952,0.0013972504549087648,612550,1633,1762
1998-2012,1998,2012,15,0.015492218230095082,0.005382718803072219,0.004000275823726084,657312,1753,1879
1998-2013,1998,2013,16,0.015116397642585919,0.005446277620834903,0.005510899155170311,702079,1874,1994
1998-2014,1998,2014,17,0.013762013515220543,0.0054045594389200025,0.01088494292302696,747063,1995,2117
1998-2015,1998,2015,18,0.012285213726121425,0.0057343440297576605,0.03216193777010254,792001,2116,2231
1998-2016,1998,2016,19,0.011342687713415938,0.006116123749957899,0.06365980313395257,836853,2235,2327
1998-2017,1998,2017,20,0.010018204237206877,0.006386534068930583,0.11673069893133421,882797,2339,2446
1998-2018,1998,2018,21,0.010201587774289273,0.006637454147950644,0.12429992281322975,928822,2431,2579
1998-2019,1998,2019,22,0.012584769953739663,0.006830227314515867,0.06540041773262087,974842,2507,2731
1999-2006,1999,2006,8,0.011717882874564428,0.0060060943307177666,0.05105718768923478,347881,925,1041
1999-2007,1999,2007,9,0.013912739814971155,0.005726928038802806,0.015125724429382814,392106,1043,1158
1999-2008,1999,2008,10,0.013641925148315895,0.0055618219195531565,0.014175703654448505,436120,1165,1273
1999-2009,1999,2009,11,0.01384803376302306,0.005285932970002801,0.008798395672965958,479355,1281,1398
1999-2010,1999,2010,12,0.0149965188286412,0.005301356776709394,0.00467217645094824,524405,1400,1520
1999-2011,1999,2011,13,0.013992627660215324,0.005459602484606954,0.010379030787036484,569433,1520,1643
1999-2012,1999,2012,14,0.012646316030480154,0.005558564527691822,0.022899652509347643,614195,1640,1760
1999-2013,1999,2013,15,0.012288475169501486,0.005583484578747393,0.027745843840545223,658962,1761,1875
